id,name,house,house_link,description,added_date,added_by
692,Maenad,Black Phoenix Alchemy Lab,,"Orgiastic mayhem in the extreme: sweet strawberry and orange blossom distorted by carnation, black poppy and hibiscus.",2022-04-24 13:48:46,1
693,Magenta Elixir,18,,"Raspberry, Toasted Coconut, Crystalline Vanilla Absolute, Almond, Buttercream Icing and Vanilla Cake accord",2022-04-24 13:48:46,1
694,Magus,Alkemia,,"High John the Conqueror root, ambrette, labdanum, patchouli, elemi, Somalian incense, opoponax, vetivert, oud, and aged incense woods.",2022-04-24 13:48:46,1
695,Maine Coon,Fyrinnae,,"Sweet, syrupy benzoin resin dominating, followed by sandalwood, a hint of two vanillas, a bit of amber, and a touch of cardamom make a warm and welcoming fragrance.",2022-04-24 13:48:46,1
696,Maneki Neko,Andromeda's Curse,,"Honeysuckle, Cherry Blossom, Chilled Honey, Rice Milk, Tuberose",2022-04-24 13:48:46,1
697,Mango Vanilla Ice Cream,18,,"Mango skin, Bali Mango accord, Mango Pulp, Mango Crystals accord, Vanilla bean fleck, Vanilla Crystalline Cream, Butter accord, Caramel Accord, French Vanilla Bean Absolute, Vanilla Milk accord, Vanilla Orchid, Crystalline Absolute and Vanilla Sugar",2022-04-24 13:48:46,1
698,Manila,Black Phoenix Alchemy Lab,,"Sampaguita blossoms, banana leaf, palm, and narra.",2022-04-24 13:48:46,1
699,Manor,Solstice Scents,,"Woody-Vanilla Musk, Vanilla, Agarwood (Oud), Sandalwood.",2022-04-24 13:48:46,1
700,Manta Ray,Nui Cobalt,,"Fathomless blue grace under moonlit waves. Iced blueberry tea, cold salt water, and bubbles glistening through ambergris accord.",2022-04-24 13:48:46,1
701,Marcilla,Black Phoenix Alchemy Lab,,"Blue lilac, lily of the valley, golden musk, beeswax, white ginger, bergamot, green tea, and nectarine.",2022-04-24 13:48:46,1
702,Marshmallow,Arcana,,"The scent of a soft, fluffy, vanilla-infused marshmallow.",2022-04-24 13:48:46,1
703,Marshmallow Cake on Monday,Cocoa Pink,,It is our bestselling Cake on Mondays scent blended with marshmallow. Do not let the name fool you; this is still a Cake on Mondays scent only a bit softer and sweeter.,2022-04-24 13:48:46,1
704,Marshmallow Musk,Alpha Musk,,"Fluffy marshmallow, dried marshmallow minis, touch of caramel covered marshmallows, over a warm soft golden vanilla musk",2022-04-24 13:48:46,1
705,Marshmallow Rose,Haus of Gloi,,Homemade marshmallow and rosewater.,2022-04-24 13:48:46,1
706,Marshmallows Scatter,Arcana,,"Dry vanilla musk and light marshmallows are showered with pale pink sakura petals, tropical orange flowers, and Tahitian tiare blossoms.",2022-04-24 13:48:46,1
707,Mary,Sixteen92,,"Marshmallow root, milky chai, praline, sticky toffee, fallen maple leaves, firewood, the chocolate-covered finger of a man named Clark",2022-04-24 13:48:46,1
708,Mary Read,Black Phoenix Alchemy Lab,,"Salt air, ocean mist, aged patchouli, sarsaparilla, watered-down rum, leather-tinged musk, and a spray of gunpowder.",2022-04-24 13:48:46,1
709,Matcha Vanille Sugar,18,,"Green Tea Leaves Crushed, Chamomile EO, Sugar Accord, Tahitian Vanilla Absolute, Violet accord, Egyptian Sugar accord.",2022-04-24 13:48:46,1
710,May Spring Revel Alchemy ,Alkemia,,"White freesia, lilies, dianthus, blue wisteria, musk, floral aldehydes.",2022-04-24 13:48:46,1
711,Medea,Black Phoenix Alchemy Lab,,"Night-blooming cereus, black orchid, black currant and myrtle leaf enshrouded in the incense of Hecate's cypress and myrrh, and the dark rage of magickal labdanum and intoxicating poppy.",2022-04-24 13:48:46,1
712,Memoirs of a Trespasser,Imaginary Authors,,"Madagascar Vanilla, Guaiacwood, Myrrh, Benzoin Resin, Ambrette Seeds, Oak Barrels",2022-04-24 13:48:46,1
713,Memoirs of a Woman of Pleasure Ultime,Alkemia,,"An opulence of cashmere sensuously perfumed with rare Japanese boudoir incenses, luxurious caramel pralines, vanilla orchids, bergamot, orris root, candied lemon peel, and a splash of champagne.",2022-04-24 13:48:46,1
714,"Meow, Purr, Boo",NAVA,,"Fresh Pear skin, Bastet's Ice Cream, Pear drizzled Caramel accord, Vanilla Bean and spooky ghastly (yet sweet), ghosty Kitty kisses",2022-04-24 13:48:46,1
715,Meow. Purr. Booo.,18,,"Fresh Pear skin, Bastet's Ice Cream, Pear drizzled Caramel accord, Vanilla Bean and spooky ghastly (yet sweet), ghostly Kitty kisses",2022-04-24 13:48:46,1
716,Merci 31,Astrid,,"Wild huckleberry, incense, vanilla, sweet fennel, and smoke.",2022-04-24 13:48:46,1
717,Merely a Madness,Sixteen92,,"White sandalwood, clover honey (vegan), sweet orange, rosewater, blond patchouli, cedar heart.",2022-04-24 13:48:46,1
718,Mermaid Musk,Alpha Musk,,a clean aquatic fresh bold nature inspired musk with no green notes and aquatics are tamed by pheromones and sea salts very musk unisex very intense throw,2022-04-24 13:48:46,1
719,Mesnée d'Hellequin,Alkemia,,"Cypress, Cedar, Teakwood, Vetiver, Galbanum, Balsam Pine, Lichen, Moss, Labdanum, Dried Leaves, Damp Earth, and Forest Fungi",2022-04-24 13:48:46,1
720,Midnight Garden,Alkemia,,"A lunar intoxication of night-flowering white flowers – tuberose (flower of dangerous pleasures), lily (flower of majestic beauty), honeysuckle (flower of binding love), gardenia (flower of secret passions) and moonflower (flower that inspires dreams of love). Hauntingly beautiful",2022-04-24 13:48:46,1
721,Midnight Hag,Cocoa Pink,,"Tart Blackberries, Vanilla Bean Noel, and a splash of Spiritueuse Double Vanilla.",2022-04-24 13:48:46,1
722,Midnight on the Midway,Black Phoenix Alchemy Lab,,"Lightning splits the sky, illuminating the skeletal skyline of the carnival rides: sugared incense, flickering blue musk, and night-blooming flowers.",2022-04-24 13:48:46,1
723,Midnight Syndicate: Carnival Arcane,18,,"Black Kettle Corn with tendrils of black spun sugar that weave, like a web, though ethereal funnel cakes drizzled with aged black Crystal vanilla musk, Crystalline Syrup and sweet & salty accords to build the background layer for this arcane carnival perfume. This perfume is built to age beautifully over time.",2022-04-24 13:48:46,1
724,Midway,Black Phoenix Alchemy Lab,,"A bombardment of edible carnival indulgences. Funnel cake, caramel apple, cotton candy, salt water taffy and sugar tart.",2022-04-24 13:48:46,1
725,Midway Resurrected,Black Phoenix Alchemy Lab,,"A bombardment of edible carnival indulgences. Funnel cake, caramel apple, cotton candy, salt water taffy and sugar tart.",2022-04-24 13:48:46,1
726,Miel de Sauvage et Tabac,Alkemia,,"Sweet, spicy pipe tobacco flecked with wild honey, beeswax, freshly crushed honeycomb, the pollen of forest blossoms, and smoked black amber. Warm. Dark. Golden. Luminous.",2022-04-24 13:48:46,1
727,Miles and Miles,Astrid,,"Amber, lychee, incense, patchouli, cardamom, apple blossom, ylang ylang, ginger, and peach nectar.",2022-04-24 13:48:46,1
728,Mimosa Blossom,Land of Aahs,,"Inspired by Lush Sakura - Japanese cherry blossoms and fragrant jasmine and mimosa will remind you of Springtime unfolding. Notes of orange citrus, green flower and tiny hints of cedarwood and musk round out this fragrance.",2022-04-24 13:48:46,1
729,Mirror,Nui Cobalt,,"Pale amber and white tea are accented by dry coconut, angelica, and cooling rain.",2022-04-24 13:48:46,1
730,Mirror Image,Stereoplasm,,"True moss, twinflower, freesia, tweed, crepe myrtle and fear",2022-04-24 13:48:46,1
731,Miskatonic University,Black Phoenix Alchemy Lab,,"The scent of Irish coffee, dusty tomes and polished oakwood halls.",2022-04-24 13:48:46,1
732,Mistress of Power,Possets,,"An incense and musk scent. Black, grey, and golden musks at the base, a good part of aged patchouli (which has gone from a thin light yellow to a thick dark brown over the years in the curing cabinet) there is absolutely nothing coy about this blend. The backdrop of a nonfoody and more brandy-like chocolate liquor, a small amount of clove, all finished off with an ambergris-like musk for a shadow-like staying power.",2022-04-24 13:48:46,1
733,Mocha Chocolate Ya-Ya,Alkemia,,"A mochalicious blend of fresh cream, Cold brewed Arabian coffee, and fine Belgian milk chocolate",2022-04-24 13:48:46,1
734,Monoceros,Sixteen92,,"Sweet peach, sugar cane, coconut cream, almond paste, silken musks",2022-04-24 13:48:46,1
735,Monthly June Rainbow Alchemy,Alkemia,,"A celebration of life, love, and fabulousness - succulent raspberries and strawberries, a streak of wild lavender, calamus root, muskrose, heirloom roses, passionflower, and Queen of Spice",2022-04-24 13:48:46,1
736,Moon Over Seoul,Deconstructing Eden,,"River water, moonlight, cool stone, Mugunghwa (rose of Sharon) blooms.",2022-04-24 13:48:46,1
737,Moon Sugar,Andromeda's Curse,,"Incredibly sweet peaches, lychee, and strawberry muddled in vanilla and milk.",2022-04-24 13:48:46,1
738,Moons of Jupiter: Thebe,Black Phoenix Alchemy Lab,,"Irregular and reddish, porous and cold: a rocky red musk, with lumps of frankincense and opoponax, crusted with ice.",2022-04-24 13:48:46,1
739,Moonstone & Opal,Wylde Ivy,,"Deep and seductive as the endless pooling blue of moonstone, yet luminous and vivid as color splashed opal. Rich black woods and resins lightened by dewy orange blossoms, green bamboo, pink amber, and Japanese pear.",2022-04-24 13:48:46,1
740,Morning Star,Hexennacht,,"Thick, rich golden orbs of amber, vanilla, whipped cream accord",2022-04-24 13:48:46,1
741,Moroccan Mint Tea,Haus of Gloi,,Strong mint tea with heaps of sugar and honey.,2022-04-24 13:48:46,1
742,Morozko,Fantôme,,"Smooth peppermint, cracking birch, nutmeg, biting winter wind, cold vanilla, black pepper.",2022-04-24 13:48:46,1
743,Morphine,Hexennacht,,"Steamed milk, lavender buds, honeyed apricots, chamomile tea, honey, white amber.",2022-04-24 13:48:46,1
744,Mother Ghost,Black Phoenix Alchemy Lab,,"Love transcending time, space, and death: a cold, sheer white musk gleaming with black orchid, benzoin, labdanum, and blackened amber, and embraced by white rose, tea leaf, and vanilla flower.",2022-04-24 13:48:46,1
745,Mount Misery and Sweet Hallow Roads,Black Phoenix Alchemy Lab,,"Black spruce boughs, packed dirt, gravel, brush, fallen chestnuts, wild tuberose, galbanum, and dead leaves.",2022-04-24 13:48:46,1
746,Mourning Dove,Nui Cobalt,,Juicy Bosc pears poached in mulled wine and drizzled with honey with a gentle breeze of forget-me-not and Casablanca lily.,2022-04-24 13:48:46,1
747,Mouse Circus (2012),Black Phoenix Alchemy Lab,,"A toodle oodle of pink cotton candy noses, vanilla spun sugar fur, scattered kernels of popcorn, and a touch of polished golden wood.",2022-04-24 13:48:46,1
748,Mouse's Long and Sad Tale,Black Phoenix Alchemy Lab,,"Vanilla, two ambers, sweet pea and white sandalwood.",2022-04-24 13:48:46,1
749,Mrs. Rabbit's Carrot Cake,Possets,,"The most moist and vanilla drenched melting cake shot through with sugar encrusted rum kissed currents and golden raisins (which crunch in your mouth) and crowned with the richest butter filled sour cream and ricotta frosting and trimmed with tiny spun sugar carrots, and grass.",2022-04-24 13:48:46,1
750,Multi-Maniac,Alpha Musk,,"violet leaf, white peppercorns, red jasmine sambac, gasoline, black tar musk, vetiver, cassis and dark sandalwood",2022-04-24 13:48:46,1
751,Murder Ballad Blues,Arcana,,"In the tradition of murder ballads, the essence of an old-time jailhouse lament (on fiddle): wild Appalachian blackberries and sugared mountain violets with hints of dark earth and guilty secrets.",2022-04-24 13:48:46,1
752,Musk Amber,Nemat International,,"The fragrance has a sweet, earthy, musk note.",2022-04-24 13:48:46,1
753,My Lady Ser,Darling Clandestine,,"This fragrance is muddy roads, dinted iron, horses and stables and miles in the saddle, whispering woods, misty fields, a cup of watered cider in a dark tavern, a flash of steel, a breath of wildflowers. But not roses. Never roses.",2022-04-24 13:48:46,1
754,My Lover's Lips,Possets,,"Three apricots drizzled over five vanillas to make a seminal and delightful sugar crust on sweet tart fruit. Foody, fruity, fabulous. This seems to be a very simple blend at first but the complexity appears as you wear it. Hints of hawthorne, a bit of moss, and the ripe juice of apricot (as averse to the pulp) all take their turn to show off their charms.",2022-04-24 13:48:46,1
755,My Oinionation,Sixteen92,,"Peach syrup, dried apricot, green fig leaf, torn notebook pages and pencil shavings, crushed velvet, and a waft of incense from your brother's room",2022-04-24 13:48:46,1
756,My Velouria,Black Hearted Tart,,"In the background, the scent of scattered velveteen petals on sheets softly lingers. Sultry amber and white musk truly embrace the skin as the heart of the fragrance. Warmth and depth are created by a base of sandalwood and cedar",2022-04-24 13:48:46,1
757,Myself Invisible,Poesie,,"stacked books, spilled ink, black tea, shy violets hiding deep in the forest",2022-04-24 13:48:46,1
758,Mystery Blend May 2021,Hexennacht,,No notes.,2022-04-24 13:48:46,1
759,Namba,Fantôme,,"The electric scent of salt water canals, grounding motor oil from the boats that pass under the crowded foot bridges, the buzzing neon that gives the city its unique energy, and melted vanilla ice cream.",2022-04-24 13:48:46,1
760,Name,House,,Scent Notes,2022-04-24 13:48:46,1
761,Nefertiti,Black Phoenix Alchemy Lab,,"Egyptian iris and olibanum with red and white sandalwood, soft myrrh and a breath of North African herbs.",2022-04-24 13:48:46,1
762,Nelke,Haus of Gloi,,"A bouquet of carnations, polished mahogany, and a drop of anise.",2022-04-24 13:48:46,1
763,Nelophilia,Nui Cobalt,,"A translucent potion of elderflower, silver musk, coconut water, cardamom, silk tree, lime blossom, and smooth hinoki wood.",2022-04-24 13:48:46,1
764,Neon Bat,18,,"Pistachio and Vanilla Custard, Almond accord, Heliotrope, Honey candy accord, Black Patchouli, Bastet's whipped Ice Cream accord, Crystalline Vanilla Absolute",2022-04-24 13:48:46,1
765,Neon Cat,18,,"Vanilla Cupcake with Buttercream frosting, Coconut Crème, Coconut Pudding accord, Studio Limited Crystalline Vanilla absolute with raw pumpkin shaving",2022-04-24 13:48:46,1
766,Neon Ghost,18,,"Strawberry accord, Cheesecake accord, Vanilla Bean, Caramelized Marshmallow accord, Studio Limited Crystalline Vanilla absolute and Cardamom Crème accord",2022-04-24 13:48:46,1
767,Nephophilia,Nui Cobalt,,"A fluffy melange of pink cotton candy, ivory cashmere, silk tree blossoms, blush suede, and steamed vanilla.",2022-04-24 13:48:46,1
768,Nerium Oleander,Sixteen92,,"White & pink oleander, heliotrope, apple seed, sweet custard, pineapple, thyme, coconut water",2022-04-24 13:48:46,1
769,Neutral,Black Phoenix Alchemy Lab,,A flawless skin musk.,2022-04-24 13:48:46,1
770,New Orleans,Black Phoenix Alchemy Lab,,"Reminiscent of hothouse blooms on a humid night, ripe, but touched with decay. Sweet honeysuckle and jasmine with a hint of lemon and spice.",2022-04-24 13:48:46,1
771,Night Star,Solstice Scents,,"Patchouli, Nutmeg, Frankincense, Myrrh, Woods and Lemon.",2022-04-24 13:48:46,1
772,Night-Gaunt,Black Phoenix Alchemy Lab,,"Their scent of their slick, rubbery hides is bittersweet, ticklish, and skin-creeping: something akin to yuzu, white grapefruit, and kumquat mixed with the snow-dusted flowers of Mount Ngranek.",2022-04-24 13:48:46,1
773,No DNA Test Required,Black Phoenix Alchemy Lab,,"Dorian holding hands with Slime Queen, with Snake Oil happily trailing behind.",2022-04-24 13:48:46,1
774,No More Cake!,Sugar Spider,,"Dark chocolate cake sandwiched between layers of caramel and buttercream frosting, drizzled with white chocolate.",2022-04-24 13:48:46,1
775,No. 93 Engine,Black Phoenix Alchemy Lab,,"Balm of Gilead, benzoin, frankincense, balsam of peru, beeswax, saffron, galbanum, calamus, hyssop, mastic, lemon balm, and white sage.",2022-04-24 13:48:46,1
776,Northern Cross,Wylde Ivy,,"The fragrance of deep blue waters and night skies. Fresh night ozone, crusted bergamot, white patchouli, and sheer musk.",2022-04-24 13:48:46,1
777,Nyx,Black Phoenix Alchemy Lab,,"Night-blooming jasmine, warmed by myrrh, lifted by the promise of rose.",2022-04-24 13:48:46,1
778,O,Black Phoenix Alchemy Lab,,"The scent of sexual obsession, slavery to sensual pleasure, and the undercurrent of innocence defiled utterly. Amber and honey with a touch of vanilla.",2022-04-24 13:48:46,1
779,Oatmeal,Skin Like Butter,,"The comforting smell of a bowl of oatmeal with all of the fixings of milk, honey, sugar, and a touch of almond extract.",2022-04-24 13:48:46,1
780,Oblivion,Black Phoenix Alchemy Lab,,"Salvation found in darkness beyond darkness, the blessed sleep of nothingness. Dark musk, wood spice, labdanum, patchouli, dark African woods, and saffron.",2022-04-24 13:48:46,1
781,Ocean,Skin Like Butter,,Clean and fresh like an ocean breeze. Unisex.,2022-04-24 13:48:46,1
782,Ochosi,Black Phoenix Alchemy Lab,,"His ofrenda is the soft shea he shares with Obatala, forest herbs, and sprucewood arrow shafts.",2022-04-24 13:48:46,1
783,Odessa,Stereoplasm,,Subtle yet haunting; fields of yellow wheat and a simple white musk. Bright top notes of fresh peach and yellow custard.,2022-04-24 13:48:46,1
784,Odic Force,Black Phoenix Alchemy Lab,,"Eucalyptus blossom, lime rind, and white mint coalescing into a green-tinged amber glow.",2022-04-24 13:48:46,1
785,Old Havana,Solstice Scents,,"Tobacco, Woods, Spices, Sea Mist, Lime",2022-04-24 13:48:46,1
786,Old Scratch,Hexennacht,,"Blackstrap molasses, bourbon, pumpkin pie, candied ginger.",2022-04-24 13:48:46,1
787,Olwyn,Fantôme,,"Magnolias, white lilies, night-blooming jasmine, and gardenias over rich, buttery vanilla, myrrh, benzoin, and a hint of orange blossom.",2022-04-24 13:48:46,1
788,OM NA: Balance,18,,"This perfume is built from many layers of beautiful imported White, Blue and Egyptian Chamomile Essential base oils. White Sandalwood, Pure petals of Egyptian Chamomile, Blue Yarrow E/O and a small nurturing of Amber Musk for the soul.",2022-04-24 13:48:46,1
789,Ombre in Blue,Wylde Ivy,,"Cool and mysterious, sweet vanilla heliotrope and delicate jasmine immersed in tonka bean, fresh bergamot, mandarin peel, and all spun with a wash of blue sugar musk.",2022-04-24 13:48:46,1
790,One Pale Woman,Black Phoenix Alchemy Lab,,"Apple and white mint layered with tobacco flower, pink pepper, white jasmine, bourbon vanilla, orange blossom, and champaca flower.",2022-04-24 13:48:46,1
791,One Thousand Lights,Wylde Ivy,,"A fresh white warm sugar blend that is innocent and inviting, mysterious and unforgettable all at the same time. Sugar musk soaked mandarin, crushed red berries, blue heliotrope, tonka bean, whipped cream, and blonde woods.",2022-04-24 13:48:46,1
792,One White Crow,Fantôme,,"A soft fougère with creamy white tea, airy vanilla, violets, and honeysuckle over a bed of moss and ivy.",2022-04-24 13:48:46,1
793,Opal Vanilla,18,,"Bastet's Vanilla Custard accord, Bastet's Ice Cream Absolute accord, Crystalline Vanilla Absolute, Vanilla Pudding accord, Vanilla Liqueur accord, True Vanilla Absolute from pod/fleck/orchid, French Vanilla Whole Beans pods, Bavarian Crème accord, Vanilla Crème, Vanilla Caramel, Brown Sugar and Vanilla Cookie essence accord. While we ask you not to shake perfumes, this is one that we insist on shaking lightly in the bottle. The colour should look lightly opulent and not clear. Vanilla when blended with other vanilla can separate slightly. When the colour is lightly opal - you will know all the beautiful vanilla notes have blended as intended. Then apply. Vanilla will become more beautiful with age.",2022-04-24 13:48:46,1
794,Opalite,Hexennacht,,"confetti angelcake, topped with lemon whipped cream and a melty scoop of birthday cake batter ice cream.",2022-04-24 13:48:46,1
795,Opium Poppy,Black Phoenix Alchemy Lab,,"Opium teaches only one thing, which is that aside from physical suffering, there is nothing real. A bitter, soft, fragile flower.",2022-04-24 13:48:46,1
796,Orange Blossom,Skin Like Butter,,A striking elegant fragrance of mandarin and white flowers. Smells exactly like orange blossoms in spring.,2022-04-24 13:48:46,1
797,Orange Blossom & Marshmallow,Hexennacht,,"Fluffy white marshmallow, premium orange blossom accord.",2022-04-24 13:48:46,1
798,Orange Blossom Bouquet,Laurel + June,,"Fresh, juicy mandarin and clementine oranges, orange blossoms, vanilla, sunshine, lavender",2022-04-24 13:48:46,1
799,Orange Flower Lemonade,Hexennacht,,Single Note.,2022-04-24 13:48:46,1
800,Orange Vanilla,Skin Like Butter,,Refreshing orange with a sweet pinch of vanilla cream.,2022-04-24 13:48:46,1
801,Orange Vanilla Shercat,18,,"Orange Sherbet accord, Orange zest, Vanilla Sugar, Bastet's Ice Cream accord, Australian Sandalwood and Santalum Absolute",2022-04-24 13:48:46,1
802,Orb,18,,"Ghostly Angel Food Cake Accord, Ghastly Vanilla Crystal, Blackened Cedarwood, Ethereal Coconut Flesh, Sweet decadent Sugar spun from a black widow and a drop of Bewitching Blue Peppercorn.",2022-04-24 13:48:46,1
803,Orchid Pink,18,,"Kobalt Vanilla SL Absolute, Peach, Pineapple, Berries, Bubblegum accord and Vanilla Bean Liqueur Absolute (from Veil)",2022-04-24 13:48:46,1
804,Orchid Purple,18,,"Kobalt Vanilla SL Absolute, Wisteria Flower accord, Elderflower extract, Lavender and Purple Rose accord",2022-04-24 13:48:46,1
805,Orchid White,18,,"Kobalt Vanilla SL Absolute, Orange Blossom Absolute, Neroli Absolute, Orange zest, Bergamot, Mandarin and Amber",2022-04-24 13:48:46,1
806,Orrery,Andromeda's Curse,,"Pink pepper, plum, fall leaves, dirt, patchouli, sandalwood, African musk.",2022-04-24 13:48:46,1
807,Osafume,Olympic Orchids,,"Anise, magnolia heliotrope, vanilla, airy notes, and white musk.",2022-04-24 13:48:46,1
808,Osirian Purnima: Isis,18,,"Goddess of magic, healing, birth and rebirth. – With White Amber Resin and Sky Amber as the base of this perfume, the Goddess of magic brings notes of amber and incense with the notes of Eternal Egypt blending into this Goddess Incense.",2022-04-24 13:48:46,1
809,Ouija,Black Phoenix Alchemy Lab,,"This is the essence of Victorian-era spiritualism: rosewood, oak and teak notes with wispy blue lilac, tea rose, dried white rose and ethereal osmanthus.",2022-04-24 13:48:46,1
810,Owl Creek Aleworks,Solstice Scents,,"Toffee Pudding, Vanilla, Caramel, Toasted Coconut & Hazelnut, Sugared Pumpkin Cream Stout",2022-04-24 13:48:46,1
811,Oyster,Poesie,,"grey musk, ocean brine, bitter cucumber, a twist of lemon, elemi resin, angelica",2022-04-24 13:48:46,1
812,Pachycephalosaurus,18,,"Resinous Amber Accord, Limestone Amber, Bastet's Ice Cream Accord, Crystalline Resin, Pink Pepper, Blue Sugar",2022-04-24 13:48:46,1
813,Paimon,Fantome,,"Hot sands, holy frankincense, sanctified myrrh, sun-bleached parchment, vanilla, black amber, coconut husk, a king's golden crown",2022-04-24 13:48:46,1
814,Paper Butterfly,Cocoa Pink,,"Osmanthus, paper, golden fields of wheat, powdered sugar, cream, dry white amber grounded with the beautiful memory of soft pale musk.",2022-04-24 13:48:46,1
815,Paper Phoenix,Black Phoenix Alchemy Lab,,"A memory of Antique Lace, Formula 54s pink pepper, and a splash of Dorian's white tea and lavender fougere.",2022-04-24 13:48:46,1
816,Paradise,Alkemia,,A heavenly blend of fresh young coconut and Madagascar vanilla with hints of Monoi Tiare. As innocently seductive as the slow trace of an angel's wing over bare skin.,2022-04-24 13:48:46,1
817,Paradisiaca (Ultime),Alkemia,,"A tropical summer night of sultry jasmine, plumeria flowers, vanilla orchid, sweet coconut musk, with an audacious flirtation of green banana",2022-04-24 13:48:46,1
818,Paramour,Siren Song Elixirs,,"Sugared strawberries, Whipped cream, Sugar cookie, Marshmallow, Magnolia",2022-04-24 13:48:46,1
819,Paris,Black Phoenix Alchemy Lab,,"Sensual, decadent, and enigmatic. Lavender, softly underscored by lotus and spice.",2022-04-24 13:48:46,1
820,Parlor Trick,Solstice Scents,,"Ivory lace, white wax, aged paper, glossy white smoke, teak, black tea, blonde woods, delicate spice, bone musk, Manor and a faint trace of rose.",2022-04-24 13:48:46,1
821,Passion,Possets,,A supersaturated chocolate solution with a smooth chocolate interior and a chocolate shell covered in chocolate sauce and floating in a puddle of chocolate. All manner of chocolate in one place and that place is heaven.,2022-04-24 13:48:46,1
822,Passion Fruit,Skin Like Butter,,Sweet and slightly tart fruit fragrance.,2022-04-24 13:48:46,1
823,Pastel Pony,Pylies,,"Erdbeersirup, Boxed White Cake Mix, Buttercreme Frosting, Vanille Wafer Moschus",2022-04-24 13:48:46,1
824,Pâtisserie,Andromeda's Curse,,"Pastel-Green Pistachio Macaron, Pink Cotton Candy, Tea Roses, Jasmine, & White Tea with 2 cubes of Sugar",2022-04-24 13:48:46,1
825,Pavane,Possets,,"Silver Cardamom, the sweetest of the strains of cardamom (something nice enough to put in a pasha's coffee) and the exquisite Silver base for which Possets is famous. Add a tot of artemesia, and a pinch of coumarin and the result is a fabulously gourmand to tempt even those on a diet against the gourmand world.",2022-04-24 13:48:46,1
826,Peach,Skin Like Butter,,Smells just like a fresh Georgia Peach.,2022-04-24 13:48:46,1
827,Peach & Cream,Alchemic Muse,,"A refreshing summer dessert that soothes your taste buds. Ripe, juicy peaches enveloped in fresh sweet cream.",2022-04-24 13:48:46,1
828,Peach Brandy Snake Oil,Black Phoenix Alchemy Lab,,No notes.,2022-04-24 13:48:46,1
829,Peach Mama,Haus of Gloi,,"Juicy peach nectar, a drizzle of sweet patchouli, and nag champa incense.",2022-04-24 13:48:46,1
830,Peach Vulva,Black Phoenix Alchemy Lab,,"Sweet apricot, sugared amber, frankincense, golden cardamom, rice milk, and golden peach.",2022-04-24 13:48:46,1
831,Peaches Crave Porches,Arcana,,"Cold watermelon, iced black tea, peach, fresh ginger, and Hawaiian tuberose",2022-04-24 13:48:46,1
832,Pearl Dust,Wylde Ivy,,"Pearl Dust is sweet, summery, and shimmering. A tropical scent like no other, island fruits mingle with cocoa butter and a cool wash of heliotrope and light musk. Notes of guava, island fig, cocoa butter, custard apple, acai, tonka bean, heliotrope, mandarin peel, and white musk.",2022-04-24 13:48:46,1
833,Pecan Praline,Redwood Alchemy,,"couldnt find notes, smells like scent name, smooth elegant chocolatey smell",2022-04-24 13:48:46,1
834,Pêche au Yuzu,Freebie,,"Peach, Yuzu, Jasmine, Vanilla, Tonka Bean.",2022-04-24 13:48:46,1
835,Pedal Pushers,Alpha Musk,,"bitters, beach sand stuck in cuffs, iced lemon water, touch of bardot, heirloom prim and proper garden florals, with a dreamy creamsicle amber white aura",2022-04-24 13:48:46,1
836,Pediophobia,Black Phoenix Alchemy Lab,,"White porcelain cracked by white tobacco, threads of brittle cognac, and vanilla filigree.",2022-04-24 13:48:46,1
837,Peony,Skin Like Butter,,A beautiful light floral.,2022-04-24 13:48:46,1
838,Perfect Happiness,Poesie,,"crisp green tea, slices of wedding cake topped with coconut, a hint of mint + ginger, white sandalwood",2022-04-24 13:48:46,1
839,Perfectly Normal,Black Phoenix Alchemy Lab,,"Spun sugar, vanilla marshmallows, cardamom, and cake batter.",2022-04-24 13:48:46,1
840,Perfectly Normal Childhood,Black Phoenix Alchemy Lab,,"Spun sugar, vanilla marshmallows, cardamom, and cake batter.",2022-04-24 13:48:46,1
841,Persephone,Alkemia,,Red ripe pomegranates and a splash of blood-red Merlot wine warmed by golden amber. An olfactory homage to a feminine power strong enough to seduce Death himself.,2022-04-24 13:48:46,1
842,Persephone,Black Phoenix Alchemy Lab,,"Beautiful, radiant daughter of Demeter… her lovliness was so exquisite that even Hell itself could not resist her. Pomegranate and rose.",2022-04-24 13:48:46,1
843,Persona Non Grata,Possets,,"Personal Non Grata should be a heavily foody thing with a river of sugar syrup to start things off, a giant crust of thick toasted sugar covering a custardy middle surrounded by the most sugar infested sinful shortbread crust which was ever toasted to perfection.",2022-04-24 13:48:46,1
844,Personent Hodie,Black Phoenix Alchemy Lab,,"Plumes of olibanum, cassia chips, benzoin, storax, and myrrh smoke swirling around a stained-glass pane of red pomegranate, purple currant, and golden amber.",2022-04-24 13:48:46,1
845,Phermonone P28,Alkemia,,not fully disclosed,2022-04-24 13:48:46,1
846,Pickles HG,Black Phoenix Alchemy Lab,,"Liliths bright, bouncy, goofy Leo! A gleaming vanilla cream poof of coconut with a hint of tiare.",2022-04-24 13:48:46,1
847,Pillow,Alpha Musk,,"Pillow is a vanilla cotton touched by one of my favorite essential oils and blender, Peru balsam, a touch of ivory woods to ground the blend further.",2022-04-24 13:48:46,1
848,Pina Colada,Skin Like Butter,,Delicious blend of pineapple and coconut.,2022-04-24 13:48:46,1
